timeRec,sineWave
1.716156659733549356e+09,-1.045507640021755419e-01
1.716156659734672308e+09,-1.056674950765001397e-01
1.716156659735799074e+09,-1.067878857869406922e-01
1.716156659736943007e+09,-1.079252068057395125e-01
1.716156659738107204e+09,-1.090825312664133878e-01
1.716156659739326954e+09,-1.102949206552031741e-01
1.716156659740570068e+09,-1.115303652259204553e-01
1.716156659741775274e+09,-1.127279706053526259e-01
1.716156659742934227e+09,-1.138794600593089484e-01
1.716156659744132757e+09,-1.150701112294073847e-01
1.716156659745318890e+09,-1.162482834016069361e-01
1.716156659746515036e+09,-1.174362363194257353e-01
1.716156659747718096e+09,-1.186308865304840782e-01
1.716156659748852968e+09,-1.197576683420806115e-01
1.716156659749992847e+09,-1.208892659854193391e-01
1.716156659751123667e+09,-1.220117143430086426e-01
1.716156659752236843e+09,-1.231164979459444808e-01
1.716156659753373384e+09,-1.242443130021296249e-01
1.716156659754509449e+09,-1.253714944938526532e-01
1.716156659755645275e+09,-1.264982776724818125e-01
1.716156659756787539e+09,-1.276312823135824226e-01
1.716156659757919312e+09,-1.287537173313196837e-01
1.716156659759054422e+09,-1.298792970156645576e-01
1.716156659760175467e+09,-1.309907638748195602e-01
1.716156659761326551e+09,-1.321318435205420805e-01
1.716156659762444973e+09,-1.332403760523150904e-01
1.716156659763559341e+09,-1.343447255462896783e-01
1.716156659764719963e+09,-1.354947350139994733e-01
1.716156659765830994e+09,-1.365954358892876030e-01
1.716156659766969442e+09,-1.377231250672525387e-01
1.716156659768079281e+09,-1.388223025984491321e-01
1.716156659769187689e+09,-1.399198926973346246e-01
1.716156659770314693e+09,-1.410357216859940699e-01
1.716156659771422386e+09,-1.421322557219543703e-01
1.716156659772576571e+09,-1.432746274863304081e-01
1.716156659773733616e+09,-1.444196394187499954e-01
1.716156659774841785e+09,-1.455161026137462010e-01
1.716156659775992155e+09,-1.466541310538026499e-01
1.716156659777147293e+09,-1.477966814249780381e-01
1.716156659778290272e+09,-1.489270108467777021e-01
1.716156659779404640e+09,-1.500288593637433276e-01
1.716156659780533314e+09,-1.511446623604471018e-01
1.716156659781657696e+09,-1.522560313149947664e-01
1.716156659782788277e+09,-1.533733333249479580e-01
1.716156659783925533e+09,-1.544970348610743005e-01
1.716156659785058498e+09,-1.556162973263678639e-01
1.716156659786170006e+09,-1.567141675360330111e-01
1.716156659787282228e+09,-1.578125504263687140e-01
1.716156659788430929e+09,-1.589467525051098395e-01
1.716156659789543629e+09,-1.600452078166508529e-01
1.716156659790694714e+09,-1.611813485897466147e-01
1.716156659791837931e+09,-1.623095123180858801e-01
1.716156659793007374e+09,-1.634633372609320123e-01
1.716156659794121504e+09,-1.645623798946682648e-01
1.716156659795251369e+09,-1.656767364416815713e-01
1.716156659796388388e+09,-1.667979338485741370e-01
1.716156659797506571e+09,-1.679003479625519046e-01
1.716156659798659563e+09,-1.690368604475391279e-01
1.716156659799772739e+09,-1.701339129265830585e-01
1.716156659800915718e+09,-1.712601166766512528e-01
1.716156659802034378e+09,-1.723621420104857471e-01
1.716156659803174257e+09,-1.734848491855906227e-01
1.716156659804300308e+09,-1.745937150812683081e-01
1.716156659805427551e+09,-1.757035331415368606e-01
1.716156659806560516e+09,-1.768187598283792183e-01
1.716156659807690144e+09,-1.779304749518504924e-01
1.716156659808828592e+09,-1.790506419637082625e-01
1.716156659809965372e+09,-1.801689352953348422e-01
1.716156659811241627e+09,-1.814241578394685528e-01
1.716156659812355995e+09,-1.825199203918792534e-01
1.716156659813465834e+09,-1.836110033506618833e-01
1.716156659814600706e+09,-1.847264633219339314e-01
1.716156659815748215e+09,-1.858541014212055087e-01
1.716156659816898108e+09,-1.869838369286915547e-01
1.716156659818009853e+09,-1.880758591119931211e-01
1.716156659819144487e+09,-1.891901237209748232e-01
1.716156659820274353e+09,-1.902994635350638841e-01
1.716156659821382761e+09,-1.913874994400964757e-01
1.716156659822526217e+09,-1.925096923003582483e-01
1.716156659823645115e+09,-1.936075410444855482e-01
1.716156659824801445e+09,-1.947418626103373240e-01
1.716156659826000214e+09,-1.959175400280961932e-01
1.716156659827124119e+09,-1.970195403777765530e-01
1.716156659828260660e+09,-1.981336775479642098e-01
1.716156659829394341e+09,-1.992447551257712501e-01
1.716156659830513477e+09,-2.003413279691485527e-01
1.716156659831643581e+09,-2.014483923200995064e-01
1.716156659832769394e+09,-2.025509968178313691e-01
1.716156659833898306e+09,-2.036563790772918103e-01
1.716156659835036755e+09,-2.047708364568324446e-01
1.716156659836154938e+09,-2.058651969844559337e-01
1.716156659837270021e+09,-2.069562677737204204e-01
1.716156659838376999e+09,-2.080391523666261788e-01
1.716156659839510679e+09,-2.091478944236333237e-01
1.716156659840615988e+09,-2.102286299971097006e-01
1.716156659841750860e+09,-2.113380049702352492e-01
1.716156659842908382e+09,-2.124692404282157721e-01
1.716156659844039917e+09,-2.135748032746137282e-01
1.716156659845172167e+09,-2.146807912452442790e-01
1.716156659846283674e+09,-2.157662502140721972e-01
1.716156659847395182e+09,-2.168514426147865881e-01
1.716156659848546505e+09,-2.179752257810219085e-01
1.716156659849658251e+09,-2.190601039816837958e-01
1.716156659850769758e+09,-2.201444788592132051e-01
1.716156659851898909e+09,-2.212457875420292819e-01
1.716156659853031158e+09,-2.223498359949039049e-01
1.716156659854141474e+09,-2.234322194581279675e-01
1.716156659855280876e+09,-2.245426718758949947e-01
1.716156659856408834e+09,-2.256416838458655816e-01
1.716156659857515574e+09,-2.267197420802528618e-01
1.716156659858641148e+09,-2.278158624377602803e-01
1.716156659859775543e+09,-2.289202814147515419e-01
1.716156659860893965e+09,-2.300088600770300862e-01
1.716156659862023592e+09,-2.311080533576447271e-01
1.716156659863149166e+09,-2.322030093995687272e-01
1.716156659864279747e+09,-2.333025398862617339e-01
1.716156659865413189e+09,-2.344045534759514327e-01
1.716156659866521120e+09,-2.354814726100091238e-01
1.716156659867654562e+09,-2.365828893349809781e-01
1.716156659868768215e+09,-2.376647804308056611e-01
1.716156659869902611e+09,-2.387665193041713096e-01
1.716156659871021032e+09,-2.398524431985276373e-01
1.716156659872152567e+09,-2.409507937674350286e-01
1.716156659873279572e+09,-2.420444405769770213e-01
1.716156659874413252e+09,-2.431442553445674615e-01
1.716156659875531673e+09,-2.442289609278230078e-01
1.716156659876671076e+09,-2.453337007003911496e-01
1.716156659877809048e+09,-2.464367355788617264e-01
1.716156659878942966e+09,-2.475355243506679737e-01
1.716156659880070210e+09,-2.486275287568032177e-01
1.716156659881184578e+09,-2.497067505031884405e-01
1.716156659882332325e+09,-2.508179739288862731e-01
1.716156659883444786e+09,-2.518947189614021420e-01
1.716156659884573698e+09,-2.529870680200946298e-01
1.716156659885702133e+09,-2.540786334723819095e-01
1.716156659886833668e+09,-2.551728722267748717e-01
1.716156659887946844e+09,-2.562490390446919841e-01
