timeRec,sineWave
1.716156659721315622e+09,-9.237655605047724594e-02
1.716156659722412825e+09,-9.346901104989265019e-02
1.716156659723505497e+09,-9.455684387096492671e-02
1.716156659726050138e+09,-9.708977513702608808e-02
1.716156659727163076e+09,-9.819739477356406732e-02
1.716156659728295326e+09,-9.932410920845533009e-02
1.716156659730606556e+09,-1.016236428636743266e-01
1.716156659731828451e+09,-1.028391360620707073e-01
1.716156659733679771e+09,-1.046804633429490733e-01
1.716156659734837770e+09,-1.058320297845018049e-01
1.716156659735970736e+09,-1.069585639998619636e-01
1.716156659737171650e+09,-1.081525118976018607e-01
1.716156659738311052e+09,-1.092851604615031613e-01
1.716156659739576817e+09,-1.105432554443325360e-01
1.716156659740764141e+09,-1.117232250331525595e-01
1.716156659741953135e+09,-1.129046953801201986e-01
1.716156659743217945e+09,-1.141613278740771925e-01
1.716156659744411945e+09,-1.153474403543801735e-01
1.716156659745543718e+09,-1.164715848847140273e-01
1.716156659746769905e+09,-1.176893383751413252e-01
1.716156659747917891e+09,-1.188292680646426125e-01
1.716156659749067068e+09,-1.199702246356390278e-01
1.716156659750196934e+09,-1.210918530009550964e-01
1.716156659751343012e+09,-1.222294176972115731e-01
1.716156659752457380e+09,-1.233353543385305173e-01
1.716156659753589153e+09,-1.244584070715902546e-01
1.716156659754729509e+09,-1.255898154995474247e-01
1.716156659755874157e+09,-1.267253175456121983e-01
1.716156659757011890e+09,-1.278537961623053831e-01
1.716156659758146763e+09,-1.289792721551520083e-01
1.716156659759280682e+09,-1.301036364626326214e-01
1.716156659760417461e+09,-1.312306697675103273e-01
1.716156659761538506e+09,-1.323419362859840076e-01
1.716156659762683153e+09,-1.334764287577216713e-01
1.716156659763817072e+09,-1.346001151503432858e-01
1.716156659764927149e+09,-1.357000071964577781e-01
1.716156659766061068e+09,-1.368233496985985509e-01
1.716156659767173052e+09,-1.379247914356385440e-01
1.716156659768304348e+09,-1.390451869631666448e-01
1.716156659769415617e+09,-1.401455750536980127e-01
1.716156659770544529e+09,-1.412632561501040440e-01
1.716156659771651983e+09,-1.423595181213531680e-01
1.716156659772785187e+09,-1.434810883236597168e-01
1.716156659773917437e+09,-1.446015306236162479e-01
1.716156659775065660e+09,-1.457375910589295276e-01
1.716156659776201963e+09,-1.468616676908215957e-01
1.716156659777353048e+09,-1.480001738766282826e-01
1.716156659778493166e+09,-1.491276393534223810e-01
1.716156659779626131e+09,-1.502478396236561209e-01
1.716156659780741453e+09,-1.513504073270028338e-01
1.716156659781874657e+09,-1.524704591080905391e-01
1.716156659783001900e+09,-1.535844253502373913e-01
1.716156659784126043e+09,-1.546951343057315631e-01
1.716156659785233736e+09,-1.557893977727525525e-01
1.716156659786367178e+09,-1.569089003940368765e-01
1.716156659787487984e+09,-1.580157240173714894e-01
1.716156659788622856e+09,-1.591362365953346292e-01
1.716156659789741278e+09,-1.602403059335898994e-01
1.716156659790862560e+09,-1.613469983703300914e-01
1.716156659792039633e+09,-1.625085365419012551e-01
1.716156659793169498e+09,-1.636232790736926179e-01
1.716156659794312239e+09,-1.647505114135954241e-01
1.716156659795429707e+09,-1.658526063051219412e-01
1.716156659796547890e+09,-1.669551993076005270e-01
1.716156659797680855e+09,-1.680721552529196583e-01
1.716156659798809767e+09,-1.691849007731110466e-01
1.716156659799923897e+09,-1.702828646307488758e-01
1.716156659801080227e+09,-1.714221926998477086e-01
1.716156659802190304e+09,-1.725157320259589899e-01
1.716156659803318501e+09,-1.736269033938262485e-01
1.716156659804473877e+09,-1.747646152578544720e-01
1.716156659805607080e+09,-1.758802665861455561e-01
1.716156659806748152e+09,-1.770034356454405766e-01
1.716156659807878256e+09,-1.781155823657029902e-01
1.716156659809016228e+09,-1.792352420175313266e-01
1.716156659810157061e+09,-1.803574836694687711e-01
1.716156659811286211e+09,-1.814680020547013717e-01
1.716156659812402964e+09,-1.825660996817355386e-01
1.716156659813554764e+09,-1.836984208517983275e-01
1.716156659814671278e+09,-1.847958202170885134e-01
1.716156659815806866e+09,-1.859117302167647423e-01
1.716156659816958666e+09,-1.870433268372224123e-01
1.716156659818091154e+09,-1.881557083739180403e-01
1.716156659819201708e+09,-1.892463104959163922e-01
