timeRec,sineWave
1.716156659734717369e+09,-1.057123038068683019e-01
1.716156659735965967e+09,-1.069538229809278984e-01
1.716156659737441778e+09,-1.084210517110442418e-01
1.716156659738605976e+09,-1.095783130229314867e-01
1.716156659739841938e+09,-1.108067481700022727e-01
1.716156659741101503e+09,-1.120584688554954189e-01
1.716156659742291212e+09,-1.132406047386264047e-01
1.716156659743428946e+09,-1.143709463001734150e-01
1.716156659744548082e+09,-1.154826676074717368e-01
1.716156659745690346e+09,-1.166172131155946701e-01
1.716156659746904612e+09,-1.178231076561918750e-01
1.716156659748060703e+09,-1.189710677104818815e-01
1.716156659749194384e+09,-1.200966196466345670e-01
1.716156659750350237e+09,-1.212440266128950866e-01
1.716156659751469374e+09,-1.223548310908856573e-01
1.716156659752611160e+09,-1.234879587604676282e-01
1.716156659753757238e+09,-1.246251835200131997e-01
1.716156659754842997e+09,-1.257024033710044952e-01
1.716156659755976915e+09,-1.268272468300387645e-01
1.716156659757102489e+09,-1.279436511534041976e-01
1.716156659758242607e+09,-1.290743152719932840e-01
1.716156659759358644e+09,-1.301809362892892286e-01
1.716156659760482073e+09,-1.312947221597792757e-01
1.716156659761607647e+09,-1.324104691983383764e-01
1.716156659762761354e+09,-1.335539298973395239e-01
1.716156659763879538e+09,-1.346620121178177532e-01
1.716156659765552044e+09,-1.363190954601702087e-01
1.716156659766699791e+09,-1.374560382215407606e-01
1.716156659767812490e+09,-1.385580905205579805e-01
1.716156659768920660e+09,-1.396554857120647919e-01
1.716156659770054340e+09,-1.407779661778611746e-01
1.716156659771185875e+09,-1.418981416570196386e-01
1.716156659772319078e+09,-1.430197872273702708e-01
1.716156659773435831e+09,-1.441249700319238713e-01
1.716156659774587631e+09,-1.452646489583847844e-01
1.716156659775722504e+09,-1.463873898288548525e-01
1.716156659776865959e+09,-1.475184313313953333e-01
1.716156659777985811e+09,-1.486259387089682582e-01
1.716156659779103994e+09,-1.497316095839699435e-01
1.716156659780234575e+09,-1.508493491516712248e-01
1.716156659781370401e+09,-1.519720801883804318e-01
1.716156659782498121e+09,-1.530866044890905886e-01
1.716156659783622742e+09,-1.541978717301793200e-01
1.716156659784728527e+09,-1.552903373966603995e-01
1.716156659785865068e+09,-1.564129906980696594e-01
1.716156659786997795e+09,-1.575316748911697318e-01
1.716156659788128614e+09,-1.586482737680856570e-01
1.716156659789258242e+09,-1.597634929924419689e-01
1.716156659790375710e+09,-1.608665073749810936e-01
1.716156659791510820e+09,-1.619867308661594174e-01
1.716156659792650223e+09,-1.631109797037674225e-01
1.716156659793794870e+09,-1.642401907675991590e-01
1.716156659794923782e+09,-1.653536676465819089e-01
1.716156659796033621e+09,-1.664481264069226918e-01
1.716156659797163963e+09,-1.675625942822269732e-01
1.716156659798294783e+09,-1.686773180718952325e-01
1.716156659799434185e+09,-1.698002846010935318e-01
1.716156659800548315e+09,-1.708981301636814942e-01
1.716156659801685810e+09,-1.720187803738868759e-01
