timeRec,sineWave
1.716156659724960804e+09,-9.600552967919206981e-02
1.716156659726067543e+09,-9.710709745299503370e-02
1.716156659727170467e+09,-9.820475002592707336e-02
1.716156659728275537e+09,-9.930441829960542921e-02
1.716156659729373217e+09,-1.003966116744543641e-01
1.716156659730495214e+09,-1.015128771816720121e-01
1.716156659731599808e+09,-1.026117022258879324e-01
1.716156659732689619e+09,-1.036956998187746615e-01
1.716156659735840559e+09,-1.068291333102668328e-01
1.716156659736991167e+09,-1.079730859285327332e-01
1.716156659738135576e+09,-1.091107337302077707e-01
1.716156659739286423e+09,-1.102546366906790032e-01
1.716156659740450144e+09,-1.114111880849785186e-01
1.716156659741753340e+09,-1.127061758819851295e-01
1.716156659742867470e+09,-1.138131368874947258e-01
1.716156659744006157e+09,-1.149443510004950070e-01
1.716156659745152235e+09,-1.160827570884630788e-01
1.716156659746324539e+09,-1.172470558994998940e-01
1.716156659747448683e+09,-1.183633717145049502e-01
1.716156659748571157e+09,-1.194778809787586660e-01
1.716156659749732971e+09,-1.206312915876464747e-01
1.716156659750864029e+09,-1.217540122431880895e-01
1.716156659752007246e+09,-1.228886443342888796e-01
1.716156659753141642e+09,-1.240143624322200266e-01
1.716156659754276037e+09,-1.251399209418673497e-01
1.716156659755387306e+09,-1.262423768724703910e-01
1.716156659756523609e+09,-1.273695070016175601e-01
1.716156659757643461e+09,-1.284801581522904135e-01
1.716156659758792877e+09,-1.296199627319326586e-01
1.716156659759923458e+09,-1.307409226882311204e-01
1.716156659761053324e+09,-1.318610065195327252e-01
1.716156659762207747e+09,-1.330052609895069626e-01
1.716156659763362646e+09,-1.341498107315381161e-01
1.716156659764496565e+09,-1.352733935896255624e-01
1.716156659765633821e+09,-1.364001091816804956e-01
1.716156659766752243e+09,-1.375079922377221153e-01
1.716156659767866611e+09,-1.386116893004034067e-01
1.716156659769006252e+09,-1.397402386792485907e-01
1.716156659770115614e+09,-1.408386292766868608e-01
1.716156659771261930e+09,-1.419734271875053855e-01
1.716156659772390604e+09,-1.430905771400932669e-01
1.716156659773531914e+09,-1.442200489020501741e-01
1.716156659774651766e+09,-1.453281029710980776e-01
1.716156659775823355e+09,-1.464871537091251286e-01
1.716156659776965141e+09,-1.476165276133235837e-01
1.716156659778082132e+09,-1.487211893337883062e-01
1.716156659779210806e+09,-1.498372161324583451e-01
1.716156659780344486e+09,-1.509580014680459159e-01
1.716156659781451702e+09,-1.520524360961391375e-01
1.716156659782597303e+09,-1.531846167829462035e-01
1.716156659783735514e+09,-1.543092939829346089e-01
1.716156659784847975e+09,-1.554083349614227838e-01
1.716156659785983562e+09,-1.565300251783325880e-01
1.716156659787124634e+09,-1.576569285916465391e-01
1.716156659788255692e+09,-1.587737401787174818e-01
1.716156659789406061e+09,-1.599094120711063993e-01
1.716156659790542841e+09,-1.610314598607387460e-01
1.716156659791663408e+09,-1.621373016324266780e-01
1.716156659792805433e+09,-1.632641096122343649e-01
1.716156659793945312e+09,-1.643885880844904723e-01
1.716156659795083284e+09,-1.655109719205431484e-01
1.716156659796208858e+09,-1.666209169779240551e-01
1.716156659797317743e+09,-1.677141980561955570e-01
1.716156659798468113e+09,-1.688481622507168600e-01
1.716156659799602270e+09,-1.699659264512708157e-01
1.716156659800715923e+09,-1.710632702886995538e-01
1.716156659801843643e+09,-1.721742586177799073e-01
1.716156659802981377e+09,-1.732948900672620640e-01
1.716156659804112673e+09,-1.744089585619217619e-01
1.716156659805236340e+09,-1.755152928865358064e-01
1.716156659806356192e+09,-1.766176508736560236e-01
1.716156659807488680e+09,-1.777322223869058637e-01
1.716156659808657885e+09,-1.788826903136108148e-01
1.716156659809805155e+09,-1.800113375450380637e-01
1.716156659810917616e+09,-1.811055144524710003e-01
